cluster_id	referent	in_clust
58	ET948_RS04700	TW84_RS10720
58	ET948_RS04700	CEQ48_RS19385
59	ET948_RS07230	ET948_RS07230
60	ET948_RS13165	ET948_RS13165
61	CEQ48_RS20530	CEQ48_RS20530
62	CEQ48_RS09020	CEQ48_RS09020
62	CEQ48_RS09020	GPX87_RS01870
62	CEQ48_RS09020	TW84_RS08450
63	CEQ48_RS10060	CEQ48_RS10060
64	CEQ48_RS10310	CEQ48_RS10310
65	CEQ48_RS11345	CEQ48_RS11345
65	CEQ48_RS11345	TW84_RS00735
65	CEQ48_RS11345	ET948_RS10385
66	CEQ48_RS12110	CEQ48_RS12110
67	CEQ48_RS13380	CEQ48_RS13380
68	CEQ48_RS14155	CEQ48_RS14155
68	CEQ48_RS14155	TW84_RS05515
68	CEQ48_RS14155	ET948_RS12925
69	CEQ48_RS14360	CEQ48_RS14360
69	CEQ48_RS14360	ET948_RS13005
69	CEQ48_RS14360	TW84_RS14440
70	CEQ48_RS14555	CEQ48_RS14555
71	CEQ48_RS16360	CEQ48_RS16360
72	CEQ48_RS16875	CEQ48_RS16875
72	CEQ48_RS16875	TW84_RS06325
73	CEQ48_RS00325	CEQ48_RS00325
74	CEQ48_RS11935	CEQ48_RS11935
74	CEQ48_RS11935	TW84_RS00045
74	CEQ48_RS11935	ET948_RS10130
75	CEQ48_RS14075	CEQ48_RS14075
75	CEQ48_RS14075	TW84_RS05435
75	CEQ48_RS14075	ET948_RS12845
76	CEQ48_RS16270	CEQ48_RS16270
76	CEQ48_RS16270	ET948_RS01720
76	CEQ48_RS16270	TW84_RS22265
77	CEQ48_RS17520	CEQ48_RS17520
77	CEQ48_RS17520	ET948_RS03155
77	CEQ48_RS17520	TW84_RS22500
78	CEQ48_RS19580	CEQ48_RS19580
78	CEQ48_RS19580	TW84_RS23035
79	CEQ48_RS01580	CEQ48_RS01580
80	CEQ48_RS03985	CEQ48_RS03985
81	CEQ48_RS05280	CEQ48_RS05280
82	ET948_RS11420	ET948_RS11420
82	ET948_RS11420	DLR58_RS08460
82	ET948_RS11420	TW84_RS04410
83	ET948_RS11585	ET948_RS11585
83	ET948_RS11585	CEQ48_RS13020
83	ET948_RS11585	TW84_RS04805
84	ET948_RS11765	ET948_RS11765
84	ET948_RS11765	DLR58_RS09070
84	ET948_RS11765	TW84_RS11555
85	ET948_RS16045	ET948_RS16045
86	EXA14_RS08665	EXA14_RS08665
87	EXA14_RS04780	EXA14_RS04780
88	EXA15_RS05175	EXA15_RS05175
88	EXA15_RS05175	TW84_RS03285
88	EXA15_RS05175	DLR58_RS12045
88	EXA15_RS05175	ET948_RS09435
88	EXA15_RS05175	MJ623_RS15815
89	EXA16_RS15660	EXA16_RS15660
90	EXA17_RS02895	EXA17_RS02895
91	EXA18_RS00630	EXA18_RS00630
92	EXA19_RS18075	EXA19_RS18075
93	EXA23_RS14145	EXA23_RS14145
94	MJ623_RS14210	MJ623_RS14210
94	MJ623_RS14210	EXA14_RS04735
95	MJ623_RS15835	MJ623_RS15835
96	MJ623_RS19550	MJ623_RS19550
97	ET948_RS10720	ET948_RS10720
97	ET948_RS10720	TW84_RS17535
97	ET948_RS10720	DLR58_RS12040
98	ET948_RS14290	ET948_RS14290
99	GPX87_RS05865	GPX87_RS05865
100	GPX92_RS08205	GPX92_RS08205
101	GPX92_RS08390	GPX92_RS08390
102	EXA14_RS11150	EXA14_RS11150
103	EXA15_RS09920	EXA15_RS09920
104	EXA15_RS14670	EXA15_RS14670
105	EXA16_RS15880	EXA16_RS15880
106	EXA17_RS15305	EXA17_RS15305
107	ET948_RS05940	ET948_RS05940
107	ET948_RS05940	CEQ48_RS06355
107	ET948_RS05940	TW84_RS20060
108	ET948_RS11905	ET948_RS11905
109	TW84_RS00210	TW84_RS00210
110	TW84_RS00370	TW84_RS00370
111	TW84_RS04290	TW84_RS04290
112	TW84_RS04645	TW84_RS04645
113	TW84_RS05335	TW84_RS05335
114	TW84_RS06160	TW84_RS06160
115	TW84_RS06335	TW84_RS06335
116	TW84_RS14555	TW84_RS14555
116	TW84_RS14555	OH455_RS14115
116	TW84_RS14555	CEQ48_RS09290
117	TW84_RS18245	TW84_RS18245
117	TW84_RS18245	CEQ48_RS13835
117	TW84_RS18245	ET948_RS12615
118	TW84_RS18640	TW84_RS18640
119	TW84_RS22205	TW84_RS22205
119	TW84_RS22205	CEQ48_RS16205
119	TW84_RS22205	ET948_RS01665
120	JYA58_RS25080	JYA58_RS25080
121	JYA58_RS09370	JYA58_RS09370
122	AACV94_RS15395	AACV94_RS15395
123	TW84_RS00580	TW84_RS00580
124	TW84_RS00740	TW84_RS00740
124	TW84_RS00740	ET948_RS10380
124	TW84_RS00740	CEQ48_RS11340
125	TW84_RS00930	TW84_RS00930
125	TW84_RS00930	TW84_RS20680
125	TW84_RS00930	CEQ48_RS09265
126	TW84_RS09205	TW84_RS09205
127	TW84_RS09535	TW84_RS09535
127	TW84_RS09535	DLR58_RS01240
127	TW84_RS09535	ET948_RS06160
128	TW84_RS14065	TW84_RS14065
128	TW84_RS14065	ET948_RS17045
128	TW84_RS14065	CEQ48_RS01885
129	TW84_RS17265	TW84_RS17265
130	TW84_RS25110	TW84_RS25110
130	TW84_RS25110	CEQ48_RS04710
131	TW84_RS21565	TW84_RS21565
132	HRU48_RS14795	HRU48_RS14795
133	HRU48_RS21780	HRU48_RS21780
134	JYA58_RS23940	JYA58_RS23940
135	JYA57_RS11320	JYA57_RS11320
136	ABS858_RS23600	ABS858_RS23600
137	AACV94_RS19375	AACV94_RS19375
138	TW84_RS08895	TW84_RS08895
138	TW84_RS08895	ET948_RS08280
138	TW84_RS08895	CEQ48_RS08570
139	JYA58_RS04230	JYA58_RS04230
139	JYA58_RS04230	EXA18_RS06570
140	JYA58_RS23840	JYA58_RS23840
141	JYA57_RS12320	JYA57_RS12320
142	AACS08_RS02910	AACS08_RS02910
143	AACS08_RS21565	AACS08_RS21565
144	AACX92_RS03740	AACX92_RS03740
145	TW84_RS02765	TW84_RS02765
146	TW84_RS02980	TW84_RS02980
147	TW84_RS06715	TW84_RS06715
147	TW84_RS06715	DLR58_RS04870
148	TW84_RS06870	TW84_RS06870
148	TW84_RS06870	CEQ48_RS02310
148	TW84_RS06870	ET948_RS16580
149	TW84_RS07040	TW84_RS07040
150	TW84_RS10490	TW84_RS10490
150	TW84_RS10490	CEQ48_RS01490
151	TW84_RS14685	TW84_RS14685
152	TW84_RS14885	TW84_RS14885
153	TW84_RS18925	TW84_RS18925
154	HRU48_RS15620	HRU48_RS15620
155	HRU48_RS22940	HRU48_RS22940
156	JYA58_RS24910	JYA58_RS24910
157	JYA58_RS24170	JYA58_RS24170
158	OH455_RS14235	OH455_RS14235
159	ABS858_RS06685	ABS858_RS06685
160	AACS08_RS01635	AACS08_RS01635
161	AACV94_RS10615	AACV94_RS10615
161	AACV94_RS10615	TW84_RS20635
162	AACX92_RS18695	AACX92_RS18695
163	AACU00_RS17330	AACU00_RS17330
164	AACT74_RS00065	AACT74_RS00065
165	AACU23_RS10070	AACU23_RS10070
166	AACU23_RS14585	AACU23_RS14585
167	CEQ48_RS05715	CEQ48_RS05715
167	CEQ48_RS05715	TW84_RS11830
167	CEQ48_RS05715	EXA15_RS08885
168	CEQ48_RS05920	CEQ48_RS05920
169	CEQ48_RS08485	CEQ48_RS08485
169	CEQ48_RS08485	ET948_RS08195
169	CEQ48_RS08485	TW84_RS22950
170	CEQ48_RS08665	CEQ48_RS08665
170	CEQ48_RS08665	TW84_RS08800
170	CEQ48_RS08665	ET948_RS08375
171	CEQ48_RS09410	CEQ48_RS09410
171	CEQ48_RS09410	ET948_RS12530
171	CEQ48_RS09410	TW84_RS08560
172	CEQ48_RS10400	CEQ48_RS10400
172	CEQ48_RS10400	EXA16_RS07925
172	CEQ48_RS10400	TW84_RS16655
173	DLR58_RS08955	DLR58_RS08955
173	DLR58_RS08955	TW84_RS08960
173	DLR58_RS08955	ET948_RS07065
174	DLR58_RS10360	DLR58_RS10360
174	DLR58_RS10360	ET948_RS01675
174	DLR58_RS10360	JYA58_RS00245
175	DLR58_RS12150	DLR58_RS12150
176	DLR58_RS13020	DLR58_RS13020
177	DLR58_RS02065	DLR58_RS02065
177	DLR58_RS02065	ET948_RS10220
178	DLR58_RS15560	DLR58_RS15560
179	DLR58_RS15825	DLR58_RS15825
180	DLR58_RS18410	DLR58_RS18410
181	DLR62_RS10645	DLR62_RS10645
182	DLR62_RS17235	DLR62_RS17235
183	DLR62_RS19585	DLR62_RS19585
184	DLR61_RS15800	DLR61_RS15800
184	DLR61_RS15800	ET948_RS10725
185	DLR65_RS12380	DLR65_RS12380
186	DLR65_RS17305	DLR65_RS17305
187	DLR64_RS13785	DLR64_RS13785
187	DLR64_RS13785	DLR65_RS11975
188	AACU04_RS03900	AACU04_RS03900
189	AACU04_RS15350	AACU04_RS15350
190	AACU04_RS16965	AACU04_RS16965
191	AACT71_RS14520	AACT71_RS14520
192	AACU00_RS09910	AACU00_RS09910
193	AACU00_RS18645	AACU00_RS18645
194	AACT74_RS00850	AACT74_RS00850
195	AACT74_RS16270	AACT74_RS16270
196	AACU23_RS09370	AACU23_RS09370
196	AACU23_RS09370	AACU04_RS05895
196	AACU23_RS09370	ET948_RS01810
196	AACU23_RS09370	EXA18_RS16690
197	AACU23_RS13020	AACU23_RS13020
198	AACU23_RS14115	AACU23_RS14115
199	CEQ48_RS06130	CEQ48_RS06130
199	CEQ48_RS06130	TW84_RS05715
199	CEQ48_RS06130	ET948_RS05735
200	CEQ48_RS06335	CEQ48_RS06335
200	CEQ48_RS06335	TW84_RS06380
200	CEQ48_RS06335	ET948_RS05920
201	CEQ48_RS08845	CEQ48_RS08845
201	CEQ48_RS08845	ET948_RS08935
201	CEQ48_RS08845	TW84_RS09960
202	CEQ48_RS09830	CEQ48_RS09830
202	CEQ48_RS09830	TW84_RS16900
202	CEQ48_RS09830	ET948_RS12070
203	CEQ48_RS10085	CEQ48_RS10085
204	CEQ48_RS10325	CEQ48_RS10325
205	CEQ48_RS11380	CEQ48_RS11380
205	CEQ48_RS11380	ET948_RS10410
205	CEQ48_RS11380	TW84_RS00695
206	CEQ48_RS12130	CEQ48_RS12130
207	CEQ48_RS13400	CEQ48_RS13400
208	CEQ48_RS14170	CEQ48_RS14170
208	CEQ48_RS14170	TW84_RS05530
208	CEQ48_RS14170	ET948_RS12940
209	CEQ48_RS15345	CEQ48_RS15345
209	CEQ48_RS15345	TW84_RS08980
209	CEQ48_RS15345	ET948_RS07050
210	CEQ48_RS17795	CEQ48_RS17795
211	CEQ48_RS11695	CEQ48_RS11695
211	CEQ48_RS11695	TW84_RS00515
211	CEQ48_RS11695	ET948_RS10535
212	CEQ48_RS13000	CEQ48_RS13000
212	CEQ48_RS13000	TW84_RS04785
212	CEQ48_RS13000	ET948_RS11565
213	CEQ48_RS14840	CEQ48_RS14840
214	ET948_RS08675	ET948_RS08675
215	ET948_RS16760	ET948_RS16760
215	ET948_RS16760	CEQ48_RS02845
215	ET948_RS16760	TW84_RS18680
216	GPX87_RS08380	GPX87_RS08380
216	GPX87_RS08380	TW84_RS18115
217	GPX87_RS12820	GPX87_RS12820
217	GPX87_RS12820	TW84_RS00540
217	GPX87_RS12820	DLR58_RS01970
218	GPX92_RS02465	GPX92_RS02465
219	EXA14_RS18760	EXA14_RS18760
220	EXA14_RS14430	EXA14_RS14430
221	EXA15_RS13665	EXA15_RS13665
222	EXA16_RS13175	EXA16_RS13175
222	EXA16_RS13175	EXA23_RS11815
223	EXA17_RS15505	EXA17_RS15505
224	EXA19_RS12510	EXA19_RS12510
225	EXA19_RS12675	EXA19_RS12675
226	EXA20_RS14495	EXA20_RS14495
227	EXA21_RS16620	EXA21_RS16620
228	EXA18_RS12605	EXA18_RS12605
229	EXA20_RS17010	EXA20_RS17010
230	EXA22_RS13440	EXA22_RS13440
231	EXA23_RS13510	EXA23_RS13510
231	EXA23_RS13510	EXA21_RS16550
232	MJ623_RS14360	MJ623_RS14360
233	MJ623_RS16590	MJ623_RS16590
234	ET948_RS03305	ET948_RS03305
235	ET948_RS06595	ET948_RS06595
235	ET948_RS06595	DLR58_RS10730
235	ET948_RS06595	TW84_RS13970
236	ET948_RS12705	ET948_RS12705
237	ET948_RS17545	ET948_RS17545
237	ET948_RS17545	CEQ48_RS01595
238	GPX87_RS15400	GPX87_RS15400
239	GPX92_RS13715	GPX92_RS13715
240	GPX94_RS00885	GPX94_RS00885
241	EXA14_RS16390	EXA14_RS16390
241	EXA14_RS16390	AACU04_RS16870
242	EXA17_RS10285	EXA17_RS10285
243	EXA17_RS17735	EXA17_RS17735
244	EXA19_RS16935	EXA19_RS16935
245	ET948_RS09525	ET948_RS09525
245	ET948_RS09525	EXA16_RS06405
246	ET948_RS17910	ET948_RS17910
247	ET948_RS14520	ET948_RS14520
247	ET948_RS14520	TW84_RS18800
247	ET948_RS14520	CEQ48_RS19060
247	ET948_RS14520	ET948_RS04480
247	ET948_RS14520	TW84_RS20870
248	ET948_RS14765	ET948_RS14765
248	ET948_RS14765	CEQ48_RS02350
249	GPX87_RS09575	GPX87_RS09575
250	GPX87_RS14710	GPX87_RS14710
251	EXA14_RS18185	EXA14_RS18185
252	EXA14_RS03320	EXA14_RS03320
253	EXA17_RS14040	EXA17_RS14040
254	EXA20_RS17160	EXA20_RS17160
255	EXA22_RS05940	EXA22_RS05940
256	EXA23_RS05510	EXA23_RS05510
256	EXA23_RS05510	ET948_RS08460
257	ET948_RS00555	ET948_RS00555
257	ET948_RS00555	DLR58_RS13775
258	ET948_RS00935	ET948_RS00935
259	ET948_RS11925	ET948_RS11925
260	TW84_RS00055	TW84_RS00055
260	TW84_RS00055	ET948_RS14010
260	TW84_RS00055	DLR58_RS12505
260	TW84_RS00055	ET948_RS12385
260	TW84_RS00055	ET948_RS17300
260	TW84_RS00055	TW84_RS12410
260	TW84_RS00055	DLR58_RS06330
260	TW84_RS00055	CEQ48_RS15395
260	TW84_RS00055	ET948_RS07010
260	TW84_RS00055	TW84_RS09035
261	TW84_RS00225	TW84_RS00225
262	TW84_RS00385	TW84_RS00385
263	TW84_RS04660	TW84_RS04660
264	TW84_RS05160	TW84_RS05160
265	TW84_RS05350	TW84_RS05350
266	TW84_RS06010	TW84_RS06010
266	TW84_RS06010	ET948_RS07965
266	TW84_RS06010	CEQ48_RS08250
267	TW84_RS06175	TW84_RS06175
268	TW84_RS06515	TW84_RS06515
268	TW84_RS06515	ET948_RS02780
268	TW84_RS06515	CEQ48_RS17155
269	TW84_RS14570	TW84_RS14570
270	TW84_RS18260	TW84_RS18260
271	ET948_RS07140	ET948_RS07140
271	ET948_RS07140	TW84_RS13270
271	ET948_RS07140	TW84_RS14490
271	ET948_RS07140	CEQ48_RS07505
272	ET948_RS13760	ET948_RS13760
272	ET948_RS13760	DLR58_RS02625
272	ET948_RS13760	TW84_RS11495
273	ET948_RS13925	ET948_RS13925
273	ET948_RS13925	TW84_RS13040
273	ET948_RS13925	DLR58_RS02330
274	GPX92_RS17880	GPX92_RS17880
275	GPX94_RS13105	GPX94_RS13105
276	EXA14_RS14915	EXA14_RS14915
276	EXA14_RS14915	HRU48_RS14815
277	EXA14_RS17785	EXA14_RS17785
278	EXA16_RS15145	EXA16_RS15145
279	EXA22_RS17325	EXA22_RS17325
280	EXA22_RS06920	EXA22_RS06920
281	B5D54_RS17455	B5D54_RS17455
282	MJ623_RS17555	MJ623_RS17555
283	MJ623_RS16770	MJ623_RS16770
284	ET948_RS04560	ET948_RS04560
284	ET948_RS04560	TW84_RS20805
284	ET948_RS04560	CEQ48_RS19160
285	ET948_RS04740	ET948_RS04740
285	ET948_RS04740	TW84_RS10780
285	ET948_RS04740	DLR58_RS14100
286	ET948_RS07445	ET948_RS07445
286	ET948_RS07445	CEQ48_RS07785
286	ET948_RS07445	TW84_RS14350
287	ET948_RS13205	ET948_RS13205
287	ET948_RS13205	TW84_RS17490
287	ET948_RS13205	CEQ48_RS04695
288	ET948_RS13395	ET948_RS13395
288	ET948_RS13395	TW84_RS18125
289	GPX87_RS06785	GPX87_RS06785
290	GPX94_RS13520	GPX94_RS13520
291	EXA14_RS14460	EXA14_RS14460
292	EXA15_RS15210	EXA15_RS15210
293	EXA17_RS02155	EXA17_RS02155
294	EXA19_RS14840	EXA19_RS14840
295	EXA19_RS17255	EXA19_RS17255
296	EXA22_RS14515	EXA22_RS14515
297	EXA22_RS07920	EXA22_RS07920
298	EXA23_RS14700	EXA23_RS14700
299	MJ623_RS12105	MJ623_RS12105
300	ET948_RS03510	ET948_RS03510
300	ET948_RS03510	EXA20_RS07410
301	ET948_RS05095	ET948_RS05095
301	ET948_RS05095	CEQ48_RS17625
302	ET948_RS05455	ET948_RS05455
302	ET948_RS05455	TW84_RS22095
302	ET948_RS05455	CEQ48_RS05805
303	ET948_RS08140	ET948_RS08140
303	ET948_RS08140	TW84_RS06200
303	ET948_RS08140	CEQ48_RS08430
304	ET948_RS08495	ET948_RS08495
304	ET948_RS08495	TW84_RS08080
305	ET948_RS08680	ET948_RS08680
306	ET948_RS16935	ET948_RS16935
306	ET948_RS16935	TW84_RS20580
306	ET948_RS16935	CEQ48_RS02040
307	GPX87_RS08405	GPX87_RS08405
308	GPX92_RS08430	GPX92_RS08430
309	EXA14_RS09495	EXA14_RS09495
309	EXA14_RS09495	OH455_RS10880
309	EXA14_RS09495	AACU00_RS06810
310	EXA15_RS17315	EXA15_RS17315
311	EXA17_RS15510	EXA17_RS15510
312	EXA17_RS15695	EXA17_RS15695
313	EXA19_RS18145	EXA19_RS18145
314	EXA19_RS12515	EXA19_RS12515
315	EXA19_RS12680	EXA19_RS12680
316	EXA20_RS18415	EXA20_RS18415
317	EXA21_RS05500	EXA21_RS05500
318	EXA18_RS12610	EXA18_RS12610
319	EXA20_RS17015	EXA20_RS17015
320	EXA22_RS13450	EXA22_RS13450
320	EXA22_RS13450	JYA58_RS13085
321	EXA23_RS13845	EXA23_RS13845
322	MJ623_RS14365	MJ623_RS14365
323	MJ623_RS18775	MJ623_RS18775
324	ET948_RS03310	ET948_RS03310
325	ET948_RS06260	ET948_RS06260
326	ET948_RS12535	ET948_RS12535
326	ET948_RS12535	CEQ48_RS09405
326	ET948_RS12535	TW84_RS08565
327	ET948_RS12710	ET948_RS12710
327	ET948_RS12710	TW84_RS22990
327	ET948_RS12710	DLR60_RS06210
328	ET948_RS17550	ET948_RS17550
328	ET948_RS17550	CEQ48_RS01590
329	GPX92_RS13720	GPX92_RS13720
330	GPX94_RS00890	GPX94_RS00890
331	EXA16_RS14305	EXA16_RS14305
332	EXA19_RS16940	EXA19_RS16940
332	EXA19_RS16940	EXA15_RS09890
333	EXA20_RS07190	EXA20_RS07190
334	DLR58_RS13980	DLR58_RS13980
334	DLR58_RS13980	ET948_RS02210
334	DLR58_RS13980	TW84_RS22415
335	DLR58_RS15125	DLR58_RS15125
335	DLR58_RS15125	TW84_RS21600
336	DLR58_RS16515	DLR58_RS16515
337	DLR58_RS18065	DLR58_RS18065
338	DLR62_RS18535	DLR62_RS18535
339	DLR62_RS03535	DLR62_RS03535
340	DLR62_RS19850	DLR62_RS19850
341	DLR62_RS19120	DLR62_RS19120
342	DLR59_RS13940	DLR59_RS13940
343	DLR59_RS19250	DLR59_RS19250
344	DLR65_RS11445	DLR65_RS11445
345	DLR65_RS13990	DLR65_RS13990
345	DLR65_RS13990	EXA15_RS10640
345	DLR65_RS13990	EXA22_RS16615
346	DLR65_RS18855	DLR65_RS18855
347	DLR65_RS04810	DLR65_RS04810
348	AACU04_RS03530	AACU04_RS03530
349	AACU04_RS18590	AACU04_RS18590
350	AACT71_RS11740	AACT71_RS11740
351	AACU00_RS06645	AACU00_RS06645
352	AACU00_RS17550	AACU00_RS17550
353	AACT69_RS10170	AACT69_RS10170
353	AACT69_RS10170	AACT69_RS10165
354	AACT74_RS00090	AACT74_RS00090
355	AACU23_RS03930	AACU23_RS03930
356	AACU23_RS10110	AACU23_RS10110
357	CEQ48_RS09430	CEQ48_RS09430
357	CEQ48_RS09430	ET948_RS12510
357	CEQ48_RS09430	TW84_RS08540
358	CEQ48_RS10420	CEQ48_RS10420
358	CEQ48_RS10420	ET948_RS11185
358	CEQ48_RS10420	TW84_RS16675
359	DLR58_RS09580	DLR58_RS09580
360	DLR58_RS00905	DLR58_RS00905
360	DLR58_RS00905	JYA58_RS02790
361	DLR58_RS12170	DLR58_RS12170
362	DLR58_RS15875	DLR58_RS15875
362	DLR58_RS15875	ET948_RS04440
362	DLR58_RS15875	TW84_RS20915
363	DLR62_RS10030	DLR62_RS10030
363	DLR62_RS10030	AACU23_RS14805
364	DLR59_RS05405	DLR59_RS05405
364	DLR59_RS05405	EXA14_RS16345
365	DLR61_RS03115	DLR61_RS03115
366	DLR63_RS09340	DLR63_RS09340
367	DLR65_RS17705	DLR65_RS17705
368	DLR60_RS07575	DLR60_RS07575
369	AACU04_RS08900	AACU04_RS08900
369	AACU04_RS08900	EXA17_RS09075
370	AACU04_RS15370	AACU04_RS15370
371	AACU04_RS16825	AACU04_RS16825
372	AACU04_RS17000	AACU04_RS17000
372	AACU04_RS17000	EXA18_RS06450
372	AACU04_RS17000	EXA14_RS16305
373	AACU04_RS18010	AACU04_RS18010
373	AACU04_RS18010	EXA20_RS16975
374	AACT71_RS14555	AACT71_RS14555
375	AACU00_RS00925	AACU00_RS00925
375	AACU00_RS00925	AACU04_RS09525
376	AACU00_RS11275	AACU00_RS11275
377	AACT69_RS02850	AACT69_RS02850
377	AACT69_RS02850	EXA16_RS10525
378	AACT74_RS00870	AACT74_RS00870
379	AACT74_RS17650	AACT74_RS17650
380	AACU23_RS09440	AACU23_RS09440
381	AACU23_RS13255	AACU23_RS13255
381	AACU23_RS13255	EXA23_RS16295
382	AACU23_RS18100	AACU23_RS18100
383	CEQ48_RS07190	CEQ48_RS07190
383	CEQ48_RS07190	ET948_RS01185
383	CEQ48_RS07190	TW84_RS09260
384	CEQ48_RS07815	CEQ48_RS07815
384	CEQ48_RS07815	ET948_RS07475
384	CEQ48_RS07815	TW84_RS05120
385	CEQ48_RS09850	CEQ48_RS09850
385	CEQ48_RS09850	EXA17_RS10530
385	CEQ48_RS09850	TW84_RS16920
386	CEQ48_RS10110	CEQ48_RS10110
387	CEQ48_RS11155	CEQ48_RS11155
387	CEQ48_RS11155	ET948_RS09440
388	CEQ48_RS13435	CEQ48_RS13435
388	CEQ48_RS13435	TW84_RS10750
388	CEQ48_RS13435	ET948_RS11645
389	CEQ48_RS14195	CEQ48_RS14195
390	CEQ48_RS15365	CEQ48_RS15365
390	CEQ48_RS15365	HRU48_RS14030
390	CEQ48_RS15365	ET948_RS07040
391	EXA14_RS14480	EXA14_RS14480
392	EXA16_RS16435	EXA16_RS16435
393	EXA17_RS02170	EXA17_RS02170
394	EXA19_RS17370	EXA19_RS17370
395	EXA22_RS16375	EXA22_RS16375
396	EXA23_RS14715	EXA23_RS14715
396	EXA23_RS14715	EXA14_RS16525
397	MJ623_RS12120	MJ623_RS12120
398	MJ623_RS12280	MJ623_RS12280
399	ET948_RS03540	ET948_RS03540
399	ET948_RS03540	CEQ48_RS04825
399	ET948_RS03540	TW84_RS10855
400	ET948_RS03715	ET948_RS03715
401	ET948_RS05110	ET948_RS05110
401	ET948_RS05110	TW84_RS16195
401	ET948_RS05110	CEQ48_RS05495
402	ET948_RS07825	ET948_RS07825
402	ET948_RS07825	CEQ48_RS08185
402	ET948_RS07825	TW84_RS16280
403	ET948_RS08155	ET948_RS08155
403	ET948_RS08155	TW84_RS22975
403	ET948_RS08155	CEQ48_RS08445
404	ET948_RS08330	ET948_RS08330
404	ET948_RS08330	TW84_RS08845
404	ET948_RS08330	CEQ48_RS08620
